Player Name,Rating,Position,Owner,Purchase Price,Status
Kalidou Koulibaly,84,CB,Debraj,4,Sold
Kim Min-jae,86,CB,Debraj,5.5,Sold
Aurelien Tchouameni,85,CDM,Debraj,1.5,Sold
Christopher Nkunku,84,CAM,Debraj,1.5,Sold
Bukayo Saka,87,RW,Debraj,4.5,Sold
Rafael Leao,72,LW,Debraj,3,Sold
Karim Benzema,86,ST,Debraj,16.5,Sold
Victor Osimhen,87,ST,Debraj,4.5,Sold
Darwin Nunez,82,ST,Debraj,0.5,Sold
Romelu Lukaku,82,ST,Debraj,5,Sold
Antoine Griezmann,88,CF,Debraj,5,Sold
Cody Gakpo,83,LW,Debraj,4.5,Sold
Serge Gnabry,82,RW,Debraj,0.5,Sold
Sadio Mane,84,LW,Debraj,0.5,Sold
Lionel Messi,88,RW,Debraj,8,Sold
Leonardo Bonucci,64,CB,Debraj,0.5,Sold
Presnel Kimpembe,81,CB,Debraj,0.5,Sold
Virgil van Dijk,89,CB,Kartikeya,14.5,Sold
Manuel Neuer,86,GK,Kartikeya,9,Sold
Keylor Navas,87,GK,Kartikeya,1,Sold
Wojciech Szczesny,85,GK,Kartikeya,1,Sold
Trent Alexander-Arnold,86,RB,Kartikeya,2,Sold
Kyle Walker,84,RB,Kartikeya,2,Sold
Denzel Dumfries,82,RB,Kartikeya,0.5,Sold
Nuno Mendes,82,LB,Kartikeya,2.5,Sold
Jules Kounde,85,CB,Kartikeya,4.5,Sold
Joshua Kimmich,86,CDM,Kartikeya,2.5,Sold
Jamal Musiala,87,CAM,Kartikeya,2,Sold
Marco Verratti,87,CM,Kartikeya,3,Sold
Ilkay Gundogan,87,CM,Kartikeya,3.5,Sold
Kingsley Coman,84,LW,Kartikeya,1,Sold
Federico Chiesa,84,RW,Kartikeya,2,Sold
Raphinha,82,RW,Kartikeya,2,Sold
Lautaro Martinez,89,ST,Kartikeya,6,Sold
Paulo Dybala,87,CF,Kartikeya,5,Sold
Kai Havertz,83,CF,Kartikeya,7,Sold
Eduardo Camavinga,83,CM,Kartikeya,1,Sold
Sandro Tonali,85,CM,Kartikeya,1.5,Sold
Thomas Muller,82,CAM,Kartikeya,0.5,Sold
Cristiano Ronaldo,86,ST,Kartikeya,11.5,Sold
Giorgio Chiellini,86,CB,Kartikeya,5,Sold
Fabinho,85,CDM,Kartikeya,3,Sold
N'Golo Kante,85,CDM,Kartikeya,2.5,Sold
Hakan Calhanoglu,86,CM,Kartikeya,1.5,Sold
Isco,66,CAM,Kartikeya,0.5,Sold
Marco Asensio,81,CAM,Kartikeya,1.5,Sold
Jan Oblak,88,GK,Nikhar,6,Sold
Mike Maignan,87,GK,Nikhar,6,Sold
Reece James,82,RB,Nikhar,0.5,Sold
Benjamin Pavard,84,RB,Nikhar,1,Sold
Andrew Robertson,85,LB,Nikhar,3,Sold
Josko Gvardiol,83,LB,Nikhar,2,Sold
Destiny Udogie,82,LB,Nikhar,1,Sold
Ruben Dias,88,CB,Nikhar,12.5,Sold
William Saliba,87,CB,Nikhar,11,Sold
Matthijs de Ligt,84,CB,Nikhar,5.5,Sold
Joao Palhinha,86,CDM,Nikhar,1,Sold
Mason Mount,78,CM,Nikhar,0.5,Sold
Sergej Milinkovic-Savic,85,CM,Nikhar,2,Sold
Luis Diaz,84,LW,Nikhar,2,Sold
Ousmane Dembele,86,RW,Nikhar,4,Sold
Angel Di Maria,83,RW,Nikhar,0.5,Sold
Robert Lewandowski,88,ST,Nikhar,30,Sold
Dusan Vlahovic,84,ST,Nikhar,1,Sold
Joao Felix,64,CF,Nikhar,4.5,Sold
Ansu Fati,80,LW,Nikhar,1,Sold
Dani Olmo,85,CAM,Nikhar,1.5,Sold
Thiago Silva,67,CB,Nikhar,1,Sold
Marc Cucurella,82,LB,Nikhar,1,Sold
Franck Kessie,84,CM,Nikhar,1.5,Sold
